datetime,temp,humidity,precip,dew,windspeed,cloudcover,solarradiation,uvindex
2018-01-01,26.8,69.9,0,20.7,22.3,72,49.2,3
2018-01-02,26.8,70.1,0.001,20.7,25.9,84.4,72.7,4
2018-01-03,26.7,70.8,0.001,20.9,24.1,86.2,121,6
2018-01-04,27.2,78.2,0.001,22.9,24,65,166,7
2018-01-05,28,79.5,0,24,22.1,70.4,146.3,6
2018-01-06,28.6,68.5,0,22,20.4,73,155,7
2018-01-07,27.6,79.3,0.292,23.5,11.1,69.2,159.9,6
2018-01-08,28.2,82,1.26,24.6,18.3,49.3,173.4,7
2018-01-09,28.6,76.8,0,23.7,18.2,43.3,198.4,7
2018-01-10,28,78.9,0.003,23.8,14.7,54.6,177.9,7
2018-01-11,27.2,67.7,0,20.6,16.5,75.3,156.5,6
2018-01-12,26.5,60,0,18,25.8,78.9,173.1,8
2018-01-13,26.5,61.3,0,18.2,31.5,65.5,189.8,8
2018-01-14,26.3,67.3,0,19.6,25.7,67.9,102.4,5
2018-01-15,27,68.6,0,20.3,16.5,69.7,167.7,7
2018-01-16,26.4,77.9,3.524,22.1,13.8,83.4,126.7,7
2018-01-17,25.8,89.2,6.104,23.8,18.4,95.8,83.1,5
2018-01-18,27.5,83.5,0.001,24.2,16.5,78.5,187.5,7
2018-01-19,27.2,76.4,0.506,22.3,18.4,86.7,192.1,8
2018-01-20,27.5,70.5,0,21.2,16.6,64.9,143.6,6
2018-01-21,27.3,80.7,0.002,23.5,16.6,69.2,197.4,7
2018-01-22,27.6,81,0.292,23.8,16.4,65.6,173.4,7
2018-01-23,27.5,78.6,0.035,23.2,12.9,49.7,207.9,7
2018-01-24,26.5,86.3,4.623,24,13,66.4,151.3,7
2018-01-25,27.8,78.1,0.028,23.3,18.3,58.1,167.2,6
2018-01-26,27.9,77.9,0.072,23.5,22,65.8,161,6
2018-01-27,25.4,95.8,3.938,24.6,16.5,96.5,34.5,3
2018-01-28,26.3,83,0.086,23.1,18.3,91.7,105.4,8
2018-01-29,27.1,76.3,0.313,22.3,12.9,57.5,184.9,6
2018-01-30,27.1,76.5,0.02,22.4,14.9,67.6,197.7,7
2018-01-31,26.4,83.5,0.008,23.3,14.7,65.6,142.8,6
2018-02-01,27.3,78,0,22.8,16.4,56.7,187.8,6
2018-02-02,27.4,74.8,0,22.3,16.4,48.5,185,7
2018-02-03,26.3,74.5,0,21.1,12.9,59,197.6,7
2018-02-04,26.5,72.7,0,20.9,18.2,72.2,192.3,8
